region,deliveryPoint,serviceType,tenor,megaWatts
NYPP,CAP,Energy,11/1/2008,-100
NYPP,MOVA,Energy,11/1/2008,100
NYPP,CAP,Energy,12/1/2008,-100
NYPP,MOVA,Energy,12/1/2008,100
NYPP,CAP,Energy,1/1/2009,-100
NYPP,MOVA,Energy,1/1/2009,100
NYPP,CAP,Energy,2/1/2009,-100
NYPP,MOVA,Energy,2/1/2009,100
NYPP,CAP,Energy,3/1/2009,-100
NYPP,MOVA,Energy,3/1/2009,100
NYPP,CAP,Energy,4/1/2009,-100
NYPP,MOVA,Energy,4/1/2009,100
NYPP,CAP,Energy,5/1/2009,-100
NYPP,MOVA,Energy,5/1/2009,100
NYPP,CAP,Energy,6/1/2009,-100
NYPP,MOVA,Energy,6/1/2009,100
NYPP,CAP,Energy,7/1/2009,-100
NYPP,MOVA,Energy,7/1/2009,100
NYPP,CAP,Energy,8/1/2009,-100
NYPP,MOVA,Energy,8/1/2009,100
NYPP,CAP,Energy,9/1/2009,-100
NYPP,MOVA,Energy,9/1/2009,100
NYPP,CAP,Energy,10/1/2009,-100
NYPP,MOVA,Energy,10/1/2009,100
NYPP,WEST,Energy,11/1/2008,-100
PJM,WESTERN HUB,Energy,11/1/2008,100
NYPP,WEST,Energy,12/1/2008,-100
PJM,WESTERN HUB,Energy,12/1/2008,100
NYPP,WEST,Energy,1/1/2009,-100
PJM,WESTERN HUB,Energy,1/1/2009,100
NYPP,WEST,Energy,2/1/2009,-100
PJM,WESTERN HUB,Energy,2/1/2009,100
NYPP,WEST,Energy,3/1/2009,-100
PJM,WESTERN HUB,Energy,3/1/2009,100
NYPP,WEST,Energy,4/1/2009,-100
PJM,WESTERN HUB,Energy,4/1/2009,100
NYPP,WEST,Energy,5/1/2009,-100
PJM,WESTERN HUB,Energy,5/1/2009,100
NYPP,WEST,Energy,6/1/2009,-100
PJM,WESTERN HUB,Energy,6/1/2009,100
NYPP,WEST,Energy,7/1/2009,-100
PJM,WESTERN HUB,Energy,7/1/2009,100
NYPP,WEST,Energy,8/1/2009,-100
PJM,WESTERN HUB,Energy,8/1/2009,100
NYPP,WEST,Energy,9/1/2009,-100
PJM,WESTERN HUB,Energy,9/1/2009,100
NYPP,WEST,Energy,10/1/2009,-100
PJM,WESTERN HUB,Energy,10/1/2009,100